adjectif;translation;image
beau; beautiful; 
bon; good; 
chaud; warm; 
cher; expensive; 
clair; light; 
difficile; difficult; 
dur; soft; 
grand; big; 
gros; fat; 
haut; high; <img src="haute.jpg">
jeune; young; 
joyeux; happy; 
léger; light; 
long; long; 
mouillé; wet; 
nouveau; new; 
ouvert; opened; 
plein; full; 
rapide; fast; 
riche; rich; 
laid; ugly; 
mauvais; bad; 
froid; cold; 
bon marché; cheap; 
foncé; dark; 
facile; easy; 
mou; hard; 
petit; small; 
maigre; skinny; 
bas; low; <img src="bas(se).jpg">
vieux; old; 
triste; sad; 
lourd; heavy; 
court; short; 
sec; dry; 
ancien; old; 
fermé; closed; 
vide; empty; 
lent; slow; 
pouvre; poor; 
allumé; turned on;
éteint; turned off;
autorisé; authorized, granted;
interdit; prohibited;
blond; blonde;
brun; brunette;
courageux; brave;
lâche; cowardly;
cuit; cooked;
cru; uncooked;
endormi; asleep;
éveillé; awake;
fort; strong;
faible; weak;
généreux; generous;
avare; miser;
intelligent; smart;
bête, stupide; stupid;
vrai ; TRUE;
faux; FALSE;
large; wide, broad;
étroit; narrow;
mûr; mature;
vert; immature, young;
proche; close;
lointain; distant;
propre; lean, proper, own;
sale; dirty;
public; public;
privé; private;
silencieux; silent;
bruyant; noisy;
sympathique; friendly, pleasant;
antipathique; ;
tôt; early;
tard; late;
travailleur; hard worker;
paresseux; lasy;
